№,q1.1.                   первое прилагательное,q1.2.                 второе прилагательное,q1.3. третье прилагательное,"q2. факультет, на который подали заявление",q3. оценка вероятности поступления,q4. источник информации о факультете,q4.7. источник информации о факультете (другое),q6. альтернативные места поступления,"q7. наличие родственников, окончивших факультет","q7.1 родственникb, окончившие факультет",q8. работает ли он по специальности (кодируется только если в q7. ответ 1),q9. планирование работать по специальности,q10.1. фактор,q10.2. фактор,q10.3. фактор,q10.7 другое,q11.1.1 вуз,q11.1.2 факультет,q12.1.,q12.2.,q12.3.,q12.7 другое,q13. подготовка перед поступлением,q13.4 курсы в вузе,q13.6. подготовка перед поступлением (другое),q14.1. математика,q14.2. русский язык,q14.3. обществознание,q14.4. иностранный язык,q14.5. история,q15.1.,q15.2.,q15.3.,q15.4.,q15.5.,q15.6.,q15.7.,q15.8.,q15.9.,q15.10.,q16. вероятность поступления на другие факультеты,q17.1. название компании (организации),q17.2. направление (профиль деятельности),q17.3. функциональные обязанности,q18. возможность договорного обучения,q19. образовательный кредит,q20. возраст респондента,q21. пол респондента,q22. место жительства респондента,q22.2 ,q22.3,q23.1. образование (отец),q23.2. образование (мать),q23.8.1 образование (отец),q23.8.2 образование (мать),q23.8. образование родителей (другое),q24. материальное положение семьи,q25. количество иностранных языков,q25.1 иностранный язык,q25.2 иностранный язык,q25.3 иностранный язык,q26. социальный слой семьи
1192,интересный, читающий, перспективный,Филологический факультет,8,3,  -,Экономический факультет,2,  -,  -,2,1,3,  -, -,ВШЭ, -,2,5, -, -,5, -, -,63,87,83,65,77,4,2,4,1,1,4,3,1,3,4,9,З.О.,З.О.,З.О.,2,3,17,2,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
1193,развивающий,,,Социологический факультет,8,5,  -,Социологический факультет,2,  -,  -,2,2,3,  -, -,ГАУГН, -,2,3, -, -,1, -, -,70,68,65,55,57,5,5,1,4,4,3,3,5,4,3,10,З.О.,З.О.,З.О.,1,2,18,1,1,-,-,4,4,-,-,-,6,1,английский,-,-,3
1194,пустой, старый, женский,Филологический факультет,1,7,  -, -,2,  -,  -,4,2,5,  -, -,НИУ ВШЭ, -,2, -, -, -,1, -, -,60,84,65,93,61,5,2,4,3,2,1,2,1,2,2,8,З.О.,З.О.,З.О.,1,2,17,2,2,Нижний Новгород,-,4,4,-,-,-,4,1,английский,-,-,2
1195,позитивный,веселый,познавательный,Высшая школа управления и инноваций (факультет),7,3,  -,Факультет государственного управления,2,  -,  -,5,3,4,  -, -,НИУ ВШЭ, -,2, -, -, -,1, -, -,60,68,78,72,54,3,4,4,1,1,3,2,1,1,3,5,З.О.,З.О.,З.О.,3,2,17,2,1,-,-,4,4,-,-,-,7,1,английский,-,-,3
1196,умный, престижный,,Физический факультет,5,6,  -,ВШБ,2,  -,  -,1,3,6,  -, -,ВАВТ, -,1,2,6, -,5, -, -,79,92,75,89,63,3,3,2,2,1,1,3,1,1,2,8,З.О.,З.О.,З.О.,2,2,18,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,7
1197,Современный, престижный, удобный.,Экономический факультет,9,3,  -,Исторический,2,  -,  -,2,3,2,  -, -,МГЛУ, -,1, -, -, -,1, -, -,70,76,93,93,55,3,2,4,5,3,1,3,1,5,1,8,З.О.,З.О.,З.О.,2,2,17,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
1198,серьезный, хороший, полезный,Юридический факультет,7,2,  -,Менеджмент,2,  -,  -,1,5,3,  -, -,РГГУ, -,2, -, -, -,5, -, -,87,90,66,87,54,3,2,4,2,2,1,2,1,1,3,5,З.О.,З.О.,З.О.,1,3,17,2,1,-,-,5,-,-,-,-,5,1,английский,-,-,3
1199,востребованный, престижный,,Высшая школа современных социальных наук (факультет),7,3,  -,Психологический,2,  -,  -,1,4,3,  -, -,МГИМО, -,2,3,6, -,4,МГУ, -,52,71,55,60,57,3,2,3,2,1,2,1,1,3,5,9,З.О.,З.О.,З.О.,1,2,18,2,2,Нижний Новгород,-,4,4,-,-,-,7,1,английский,-,-,3
1200,интересный, название длинное, есть химия,Факультет фундаментальной физико–химической инженерии,7,3,  -, -,2,  -,  -,2,6,2,  -, -,МЭСИ , -,1,5,6, -,1, -, -,56,90,78,85,61,3,2,5,5,3,1,4,2,5,5,8,З.О.,З.О.,З.О.,2,2,17,2,2,Ростов-на-Дону,-,4,4,-,-,-,6,1,английский,-,-,2
1201,Физический,московский, государственный,Физический факультет,5,1,  -,философский,2,  -,  -,1,2,1,  -, -,МПГУ, -,1,4, -, -,1, -, -,92,92,85,80,54,4,2,4,2,4,2,3,2,5,3,9,З.О.,З.О.,З.О.,2,2,17,1,1,-,-,4,4,-,-,-,6,1,английский,-,-,7
1202,Интересный, красивый, прикольный,Высшая школа телевидения (факультет),10,3,  -,не буду подавать,2,  -,  -,1,3,4,5, -,РГГУ, -,1,2,6, -,5, -, -,56,79,65,66,63,2,3,3,1,1,1,4,3,1, -,1,З.О.,З.О.,З.О.,3,2,17,1,1,-,-,4,4,-,-,-,6,1,английский,-,-,2
1203,Сложный, прогресcивный,интересный,Факультет биоинженерии и биоинформатики,8,5,  -,философский,2,  -,  -,1,3,4,5, -,НИУ ВШЭ, -,1,2, -, -,4,МГУ, -,52,62,73,55,55,1,3,4,4,4,1,3,1,5,2,6,З.О.,З.О.,З.О.,2,3,17,1,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
1204,интересный, необходимый,популярный,Юридический факультет,10,1,  -,ВШБ,2,  -,  -,2,2,3,6, -,РГГУ, -,1,2,3, -,1, -, -,83,69,70,55,54,5,1,5,2,1,1,3,4,1,2,9,З.О.,З.О.,З.О.,1,2,18,1,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
1205,Страшный, старый, мгушный,Юридический факультет,10,5,  -,не буду подавать,2,  -,  -,1,2,3,7, -,ВШЭ, -,6, -, -, -,1, -, -,52,72,78,55,55,4,1,4,4,4,1,4,3,4,5,7,З.О.,З.О.,З.О.,1,3,21,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
1206,неизвестный, интересный, сестринский,Социологический факультет,5,3,  -,экономический,2,  -,  -,2,3,2,4, -,МГИМО, -,1,2,3, -,1, -, -,63,90,85,66,98,3,2,4,1,5,5,4,1,5,3,4,З.О.,З.О.,З.О.,1,3,18,1,1,-,-,2,4,-,-,-,7,1,английский,-,-,2
1207,влиятельный, интересующий,,Факультет мировой политики,6,6,  -,экономический,2,  -,  -,4,3,4,2, -,нет других, -,1,2, -, -,1, -, -,96,72,83,79,66,3,1,4,1,1,2,1,1,1,2,8,З.О.,З.О.,З.О.,2,3,17,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
1208,Интересный, творческий, мультимедийный,Высшая школа телевидения (факультет),6,3,  -,политология,2,  -,  -,2,3,2,7, -,ВШЭ, -,4,6, -, -,1, -, -,56,87,78,87,93,4,1,4,2,2,1,3,3,1,2,1,З.О.,З.О.,З.О.,2,2,16,1,2,Нижний Новгород,-,4,4,-,-,-,6,1,английский,-,-,3
1209,хороший,качественный,современный,Юридический факультет,9,3,  -,экономика,2,  -,  -,2,3,4,2, -,ВШЭ, -,2, -, -, -,1, -, -,60,90,85,65,94,2,2,3,1,1,2,1,1,1,3,4,З.О.,З.О.,З.О.,2,3,17,1,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
1210,известный, конструктивный, познавательный,Экономический факультет,7,3,  -,психологический,2,  -,  -,2,1,2,4, -,РАНХ, -,1,2,3, -,7, -, -,63,68,69,45,70,3,3,4,1,1,2,2,1,3,5,9,З.О.,З.О.,З.О.,2,2,17,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
1211,популярный, эффективный, лучший,Юридический факультет,7,2,  -,никакие,2,  -,  -,2,4,2,6, -,МЭИ, -,1,2,5, -,3.5, -, -,34,87,88,90,96,5,2,3,2,1,1,2,1,2,2,7,З.О.,З.О.,З.О.,1, -,18,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
1212,многочисленный, интересный, важный,Экономический факультет,5,3,  -,"ФГУ, политология, социологический",2,  -,  -,1,2,4,3, -,РУДН, -,2, -, -, -,1.2, -, -,52,95,63,65,65,2,3,1,1,1,3,2,1,1,2,9,З.О.,З.О.,З.О.,3,2,17,1,1,-,-,5,5,-,-,-,5,1,английский,-,-,3
1213,Правовой,уголовный,семейный,Юридический факультет,7,7,  -,социологический,2,  -,  -,2,3,3,  -, -,РЭУ, -,1,2,3, -, -, -, -,86,76,56,65,55,4,1,3,2,1,3,5,1,1,3,10,З.О.,З.О.,З.О.,1,2,17,1,2,Нижний Новгород,-,4,4,-,-,-,4,1,английский,-,-,3
1214,Престижный, хороший, трудный,Экономический факультет,6,3,  -, -,2,  -,  -,1,2,  -,6, -,РГГУ, -,3, -, -, -, -, -, -,56,95,75,55,86,3,1,3,1,1,2,2,1,3,4,8,З.О.,З.О.,З.О.,3,3,17,2,1,-,-,4,4,-,-,-,7,1,английский,-,-,3
1215,великий,глобальный,решительный,Юридический факультет,7,1,  -,"ИСАА, исторический",2,  -,  -,1,2,6,7, -,РГГУ, -,1,2,3, -,1.2, -, -,48,70,68,79,65,3,3,2,1,2,4,4,2,2,3,7,З.О.,З.О.,З.О.,2,2,17,2,2,Нижний Новгород,-,4,2,-,-,-,6,1,английский,-,-,2
1216,Красивый,престижный,трудный,Экономический факультет,10,2,  -,только этот,2,  -,  -,1,4,6,  -, -,МГУ, -,6, -, -, -,1, -, -,56,95,75,86,55,3,1,3,1,1,3,2,1,1,3,7,З.О.,З.О.,З.О.,2,2,17,1,1,-,-,4,4,-,-,-,6,1,английский,-,-,2
1217,интересный, расширяющий кругозор, любимый,Факультет журналистики,8,3,  -, -,2,  -,  -,2,3,  -,4, -,ФУ, -,1,2,5, -,7, -, -,56,90,78,60,72,4,4,3,1,1,5,1,1,4,3,1,З.О.,З.О.,З.О.,2,2,17,2,1,-,-,4,4,-,-,-,6,1,английский,-,-,2
1218,правомерный, четкий, хладнокровный,Юридический факультет,9,5,  -,гос.управление,2,  -,  -,2,  -,4,  -, -,РУДН, -,2, -, -, -,5, -, -,63,76,65,70,65,3,2,4,3,2,1,4,3,3,3,3,З.О.,З.О.,З.О.,2,2,17,2,1,-,-,,4,-,-,-,4,1,английский,-,-,3
1219,Лучший, математический, неординарный,Экономический факультет,7,3,  -,исторический,2,  -,  -,1,6,  -,  -, -,РАНХ при Президенте РФ, -,2, -, -, -,1, -, -,40,65,57,66,47,4,1,4,1,1,3,3,1,5,3,8,З.О.,З.О.,З.О.,1,2,17,1,2,Нижний Новгород,-,4,4,-,-,-,4,1,английский,-,-,2
1220,умный, великолепный, потрясающий,Юридический факультет,9,6,  -,экономический,2,  -,  -,2,6,  -,3, -,ГУУ, -,1, -, -, -,1, -, -,45,79,54,67,62,2,1,2,3,5,5,5,5,5,5,10,З.О.,З.О.,З.О.,1,2,17,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
1221,сильный,престижный,перспективный,Физический факультет,7,3,  -,никакой,2,  -,  -,2,  -,3,  -, -,НИУ ВШЭ, -,2, -, -, -,5, -, -,56,48,48,55,57,2,1,3,2,2,2,3,2,2,1,6,З.О.,З.О.,З.О.,2,2,18,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,7
1222,Элитный,хороший,красивый,Юридический факультет,9,3,  -,Государственное и муниципальное управление,2,  -,  -,2,4,  -,  -, -,ФУ при Правительстве РФ, -,2,4, -, -,5, -, -,56,86,90,68,61,2,3,3,2,2,2,4,2,3,3,4,З.О.,З.О.,З.О.,1,3,17,1,1,-,-,4.6,4,-,-,-,6,1,английский,-,-,3
1223,Перспективный, интересный, атмосферный,Факультет глобальных процессов,9,5,  -,физический,2,  -,  -,4,  -,  -,3, -,нет других, -,2,3,5, -,1, -, -,28,68,56,56,54,4,3,2,1,1,3,2,2,1,3,6,З.О.,З.О.,З.О.,2,2,20,1,1,-,-,4.5,4.5,-,-,-,4,1,английский,-,-,3
1224,бюджетный,хороший,классный,Юридический факультет,6,5,  -,никакие,2,  -,  -,2,  -,3,2, -,НИУ ВШЭ, -,1,5,6, -,3, -, -,66,84,88,44,63,3,1,4,1,1,2,3,1,1,2,5,З.О.,З.О.,З.О.,3,2,20,1,1,-,-,,1,-,-,-,6,1,английский,-,-,3
1225,сложный, интересный, познавательный,Юридический факультет,7,2,  -,геологический,2,  -,  -,4,3,2,4, -,НИУ ВШЭ, -,1,2,5, -,1.2, -, -,56,71,70,54,55,1,2,2,1,1,1,1,1,1,5,10,З.О.,З.О.,З.О.,1,2,17,2,2,-,-,4,4,-,-,-,5,1,английский,-,-,7
1226,,,,Факультет глобальных процессов,6,5,  -,Государственное и муниципальное управление,2,  -,  -,5,  -,2,5, -,РГГУ, -,1,2,4, -,1.2, -, -,63,82,78,78,54,1,3,2,2,2,3,2,2,3,3,1,З.О.,З.О.,З.О.,3,3,17,1,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
1227,Увлекательный, перспективный, интеграционный,Социологический факультет,8,3,  -,никакие,2,  -,  -,1,  -,2,  -, -,ГУ-ВШЭ, -,2,4,5, -,1, -, -,70,92,85,64,66,3,1,3,2,2,1,3,1,2,2,4,З.О.,З.О.,З.О.,2,1,18,1,1,-,-,4,4,-,-,-,7,1,английский,-,-,2
1228,Разумный, интересный,познавательный,Факультет фундаментальной физико–химической инженерии,7,5,  -,Мехмат,2,  -,  -,2,3,  -,  -, -,МЭСИ, -,1,2,3, -,2, -, -,48,92,83,57,57,3,1,4,1,1,3,3,5,1,2,3,З.О.,З.О.,З.О.,2,2,17,1,2,Нижний Новгород,-,4,4,-,-,-,6,1,английский,-,-,3
1229,Престижный, интересный, клевы,Философский факультет,10,3,  -,психология,2,  -,  -,1,2,  -,6, -,МГИМО, -,3, -, -, -,1, -, -,63,92,66,55,61,2,3,1,1,1,2,3,1,1,4,9,З.О.,З.О.,З.О.,3,2,17,1,1,-,-,4,4,-,-,-,7,1,английский,-,-,7
1230,современный , большой , светлый,Юридический факультет,4,5,  -,затрудняюсь ответить,2,  -,  -,2,2,2,  -, -,МГЛУ, -,1,2,5, -,1, -, -,56,76,66,74,54,1,1,1,2,2,3,3,2,2,3,8,З.О.,З.О.,З.О.,2,2,23,2,2,Нижний Новгород,-,4,4,-,-,-,4,1,английский,-,-,3
1231,умный, уверенный, престижный,Юридический факультет,6,6,  -,экономический,2,  -,  -,1,2,  -,  -, -,МАТИ, -,1,2,3, -,1, -, -,68,82,66,88,63,5,3,2,2,3,5,2,3,5,2,5,З.О.,З.О.,З.О.,2,3,20,1,1,-,-,4.7,4.7,-,-,-,4,1,английский,-,-,2
1232,прогрессивный интеллектуальный обширный,,,Географический факультет,7,3,  -,филологический,2,  -,  -,2,  -,  -,  -,я сам,ВШЭ, -,1,2,3, -,1, -, -,74,79,98,90,55,4,2,1,1,1,2,2,1,1,1,10,З.О.,З.О.,З.О.,1,2,17,1,2,Нижний Новгород,-,4,4,-,-,-,5,1,английский,-,-,3
1233,Престижный, востребованный, профессиональный,Географический факультет,5,3,  -,никакие,2,  -,  -,2,  -,  -,  -,я сам,МГУ, -,2, -, -, -,1, -, -,66,98,78,94,54,4,2,4,5,5,2,5,1,1,2,4,З.О.,З.О.,З.О.,2,2,17,1,1,-,-,4,4,-,-,-,4,1,английский,-,-,2
1234,Качественный, перспективный, престижный,Юридический факультет,10,5,  -,факультет мировой политики,2,  -,  -,2,2,  -,3, -,РГГУ, -,3,2, -, -,1, -, -,45,76,100,54,77,2,3,4,4,4,3,3,4,4,5,4,З.О.,З.О.,З.О.,1,2,24,1,1,-,-,4,4,-,-,-,6,1,английский,-,-,3
1235,,,,Факультет глобальных процессов,8,1,  -,никакие,2,  -,  -,2,  -,3,  -, -,НИУ ВШЭ, -,1,2, -, -,1, -, -,74,76,88,79,66,3,1,2,2,2,3,2,1,2,4,7,З.О.,З.О.,З.О.,1,1,19,2,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
1236,Престижный,интересный,практичный,Юридический факультет,8,3,  -,жур фак,2,  -,  -,1,  -,  -,  -,я сам,ФА, -,1,2,5, -,1, -, -,87,91,94,67,64,2,3,3,2,1,2,1,1,4,3,8,З.О.,З.О.,З.О.,2,2,18,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
1237,интересный,исследовательский,перспективный,Географический факультет,7,7,  -,вмк,2,  -,  -,1,  -,  -,  -,я сам,РГГУ, -,1,2,3, -,1, -, -,79,82,90,88,56,3,3,3,2,1,2,3,2,1,2,7,З.О.,З.О.,З.О.,2,2,18,2,1,-,-,6,4,-,-,-,7,1,английский,-,-,2
1238,красивый, большой, перспективный,Юридический факультет,6,4,  -,юридический,2,  -,  -,2,  -,  -,3, -,МПГУ, -,1,2, -, -,4,МГУ, -,63,71,71,67, -,3,2,3,1,1,1,2,1,2,5,7,З.О.,З.О.,З.О.,1,2,17,1,1,-,-,4,4,-,-,-,7,1,английский,-,-,3
1239,разносторонний, популярный , яркий,Юридический факультет,5,3,  -,экономический,2,  -,  -,2,3,7,4, -,ВШЭ, -,1,4,5, -,1, -, -,70,84,75,88,64,4,1,3,1,1,2,1,1,3,5,7,З.О.,З.О.,З.О.,1,2,18,1,2,Нижний Новгород,-,4,4,-,-,-,6,1,английский,-,-,2
1240,экономический,хороший,овальный,Экономический факультет,7,2,  -,факультет международных отношений,2,  -,  -,2,  -,4,  -, -,ВШЭ, -,1,2,3, -,5, -, -,70,83,90,84,56,3,2,4,2,5,1,2,3,5,2,9,З.О.,З.О.,З.О.,1,2,18,2,2,Ростов-на-Дону,-,4,4,-,-,-,5,1,английский,-,-,1
1241,интересный,трудный,преспектиктивный,Физический факультет,7,1,  -, -,2,  -,  -,2,  -,  -,  -,я сам,ВАВТ, -,2, -, -, -,4,МГУ, -,100,84,84,84,45,3,2,2,1,1,2,5,1,2,5,5,З.О.,З.О.,З.О.,1,2,19,1,1,-,-,,-,-,-,-,5,1,английский,-,-,3
1242,популярный, престижный, хороший,Юридический факультет,9,6,  -, -,2,  -,  -,2,  -,  -,  -,я сам,МЭСИ, -,1,2,6, -,4,МГУ, -,40,92,55,93,64,4,4,4,1,1,2,1,1,1,3,10,З.О.,З.О.,З.О.,3,2,18,1,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
1243,престижный, высокопоставленный, идеальный,Юридический факультет,7,5,  -,"Философский, политологический",2,  -,  -,2,3,  -,6, -,МГИМО, -,2,3,5, -,5, -, -,71,81,71,80,65,4,3,3,2,2,1,5,1,3,4,10,З.О.,З.О.,З.О.,1,3,17,1,1,-,-,4,4,-,-,-,3,1,английский,-,-,3
1244,Интересный, подающий надежды, перспективный,Экономический факультет,7,6,  -,Механико-математический,2,  -,  -,2,4,6,2, -,ВАВТ, -,1,2, -, -,1, -, -,87,84,80,92,55,3,2,2,2,2,2,4,1,4,5,4,З.О.,З.О.,З.О.,1,2,17,1,1,-,-,4,4,-,-,-,4,1,английский,-,-,7
1245,интересный, трудный, перспективный,Экономический факультет,8,5,  -,юридический,2,  -,  -,2,  -,2,  -, -,нет других, -,1, -, -, -,1, -, -,68,84,92,65,54,2,4,1,1,3,3,2,3,5,3,10,З.О.,З.О.,З.О.,1,2,19,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
1246,Перспективный, интересный, дружный,Физический факультет,7,2,  -,ФГП,2,  -,  -,4,  -,  -,3, -,МЭСИ, -,1,2,3, -,4,ВШЭ, -,56,72,85,82,82,4,1,4,2,2,1,3,2,1,3,7,З.О.,З.О.,З.О.,2,2,28,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,2
1247,,,,Факультет государственного управления,9,3,  -,факультет иностранных языков и регионоведения,2,  -,  -,2,  -,  -,3, -,РГГУ, -,2,3, -, -,1, -, -,63,79,78,56,66,2,2,2,3,5,5,1,1,5,2,Исследователь программ,З.О.,З.О.,З.О.,3,3,17,1,1,-,-,4,4,-,-,-,6,1,английский,-,-,3
1248,популярный, сложный, труднодоступный,Факультет мировой политики,10,6,  -,не буду поступать,2,  -,  -,1,6,  -,3, -,МГИМО, -,1,3,6, -,1, -, -,60,98,65,58,72,2,2,3,2,2,1,2,2,3,3,8,З.О.,З.О.,З.О.,2,2,18,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,2
